realtime_start,realtime_end,date,value
2019-12-06,2019-12-06,1992-01-01,164095
2019-12-06,2019-12-06,1992-02-01,164213
2019-12-06,2019-12-06,1992-03-01,163721
2019-12-06,2019-12-06,1992-04-01,164709
2019-12-06,2019-12-06,1992-05-01,165612
2019-12-06,2019-12-06,1992-06-01,166077
2019-12-06,2019-12-06,1992-07-01,167257
2019-12-06,2019-12-06,1992-08-01,167800
2019-12-06,2019-12-06,1992-09-01,169400
2019-12-06,2019-12-06,1992-10-01,170625
2019-12-06,2019-12-06,1992-11-01,171003
2019-12-06,2019-12-06,1992-12-01,173105
2019-12-06,2019-12-06,1993-01-01,175108
2019-12-06,2019-12-06,1993-02-01,173744
2019-12-06,2019-12-06,1993-03-01,172306
2019-12-06,2019-12-06,1993-04-01,176749
2019-12-06,2019-12-06,1993-05-01,178426
2019-12-06,2019-12-06,1993-06-01,178157
2019-12-06,2019-12-06,1993-07-01,180743
2019-12-06,2019-12-06,1993-08-01,180707
2019-12-06,2019-12-06,1993-09-01,181773
2019-12-06,2019-12-06,1993-10-01,182884
2019-12-06,2019-12-06,1993-11-01,184747
2019-12-06,2019-12-06,1993-12-01,186399
2019-12-06,2019-12-06,1994-01-01,185142
2019-12-06,2019-12-06,1994-02-01,188074
2019-12-06,2019-12-06,1994-03-01,191579
2019-12-06,2019-12-06,1994-04-01,191639
2019-12-06,2019-12-06,1994-05-01,190929
2019-12-06,2019-12-06,1994-06-01,193130
2019-12-06,2019-12-06,1994-07-01,193743
2019-12-06,2019-12-06,1994-08-01,196163
2019-12-06,2019-12-06,1994-09-01,197765
2019-12-06,2019-12-06,1994-10-01,199571
2019-12-06,2019-12-06,1994-11-01,199731
2019-12-06,2019-12-06,1994-12-01,200702
2019-12-06,2019-12-06,1995-01-01,201573
2019-12-06,2019-12-06,1995-02-01,198399
2019-12-06,2019-12-06,1995-03-01,200247
2019-12-06,2019-12-06,1995-04-01,201032
2019-12-06,2019-12-06,1995-05-01,202986
2019-12-06,2019-12-06,1995-06-01,205500
2019-12-06,2019-12-06,1995-07-01,204920
2019-12-06,2019-12-06,1995-08-01,206521
2019-12-06,2019-12-06,1995-09-01,207006
2019-12-06,2019-12-06,1995-10-01,206176
2019-12-06,2019-12-06,1995-11-01,208664
2019-12-06,2019-12-06,1995-12-01,210399
2019-12-06,2019-12-06,1996-01-01,208699
2019-12-06,2019-12-06,1996-02-01,212008
2019-12-06,2019-12-06,1996-03-01,213891
2019-12-06,2019-12-06,1996-04-01,214676
2019-12-06,2019-12-06,1996-05-01,216299
2019-12-06,2019-12-06,1996-06-01,216068
2019-12-06,2019-12-06,1996-07-01,216332
2019-12-06,2019-12-06,1996-08-01,216358
2019-12-06,2019-12-06,1996-09-01,219256
2019-12-06,2019-12-06,1996-10-01,221060
2019-12-06,2019-12-06,1996-11-01,220963
2019-12-06,2019-12-06,1996-12-01,221991
2019-12-06,2019-12-06,1997-01-01,223481
2019-12-06,2019-12-06,1997-02-01,225422
2019-12-06,2019-12-06,1997-03-01,226161
2019-12-06,2019-12-06,1997-04-01,224615
2019-12-06,2019-12-06,1997-05-01,222929
2019-12-06,2019-12-06,1997-06-01,226057
2019-12-06,2019-12-06,1997-07-01,228703
2019-12-06,2019-12-06,1997-08-01,229309
2019-12-06,2019-12-06,1997-09-01,230312
2019-12-06,2019-12-06,1997-10-01,229836
2019-12-06,2019-12-06,1997-11-01,230440
2019-12-06,2019-12-06,1997-12-01,231181
2019-12-06,2019-12-06,1998-01-01,231587
2019-12-06,2019-12-06,1998-02-01,231684
2019-12-06,2019-12-06,1998-03-01,233083
2019-12-06,2019-12-06,1998-04-01,235986
2019-12-06,2019-12-06,1998-05-01,237075
2019-12-06,2019-12-06,1998-06-01,238971
2019-12-06,2019-12-06,1998-07-01,237411
2019-12-06,2019-12-06,1998-08-01,236379
2019-12-06,2019-12-06,1998-09-01,238550
2019-12-06,2019-12-06,1998-10-01,242549
2019-12-06,2019-12-06,1998-11-01,244291
2019-12-06,2019-12-06,1998-12-01,246530
2019-12-06,2019-12-06,1999-01-01,246868
2019-12-06,2019-12-06,1999-02-01,249520
2019-12-06,2019-12-06,1999-03-01,250667
2019-12-06,2019-12-06,1999-04-01,252477
2019-12-06,2019-12-06,1999-05-01,254735
2019-12-06,2019-12-06,1999-06-01,255449
2019-12-06,2019-12-06,1999-07-01,257456
2019-12-06,2019-12-06,1999-08-01,260230
2019-12-06,2019-12-06,1999-09-01,261317
2019-12-06,2019-12-06,1999-10-01,261818
2019-12-06,2019-12-06,1999-11-01,264965
2019-12-06,2019-12-06,1999-12-01,269863
2019-12-06,2019-12-06,2000-01-01,268044
2019-12-06,2019-12-06,2000-02-01,272020
2019-12-06,2019-12-06,2000-03-01,275192
2019-12-06,2019-12-06,2000-04-01,271046
2019-12-06,2019-12-06,2000-05-01,271394
2019-12-06,2019-12-06,2000-06-01,273422
2019-12-06,2019-12-06,2000-07-01,272630
2019-12-06,2019-12-06,2000-08-01,272918
2019-12-06,2019-12-06,2000-09-01,277548
2019-12-06,2019-12-06,2000-10-01,276927
2019-12-06,2019-12-06,2000-11-01,276029
2019-12-06,2019-12-06,2000-12-01,275791
2019-12-06,2019-12-06,2001-01-01,278834
2019-12-06,2019-12-06,2001-02-01,278773
2019-12-06,2019-12-06,2001-03-01,276450
2019-12-06,2019-12-06,2001-04-01,280808
2019-12-06,2019-12-06,2001-05-01,281496
2019-12-06,2019-12-06,2001-06-01,280401
2019-12-06,2019-12-06,2001-07-01,279504
2019-12-06,2019-12-06,2001-08-01,281413
2019-12-06,2019-12-06,2001-09-01,276084
2019-12-06,2019-12-06,2001-10-01,294540
2019-12-06,2019-12-06,2001-11-01,287111
2019-12-06,2019-12-06,2001-12-01,283705
2019-12-06,2019-12-06,2002-01-01,283508
2019-12-06,2019-12-06,2002-02-01,285054
2019-12-06,2019-12-06,2002-03-01,284262
2019-12-06,2019-12-06,2002-04-01,288833
2019-12-06,2019-12-06,2002-05-01,284951
2019-12-06,2019-12-06,2002-06-01,287372
2019-12-06,2019-12-06,2002-07-01,290385
2019-12-06,2019-12-06,2002-08-01,292650
2019-12-06,2019-12-06,2002-09-01,288410
2019-12-06,2019-12-06,2002-10-01,289576
2019-12-06,2019-12-06,2002-11-01,291484
2019-12-06,2019-12-06,2002-12-01,293947
2019-12-06,2019-12-06,2003-01-01,295248
2019-12-06,2019-12-06,2003-02-01,291167
2019-12-06,2019-12-06,2003-03-01,296325
2019-12-06,2019-12-06,2003-04-01,295600
2019-12-06,2019-12-06,2003-05-01,296410
2019-12-06,2019-12-06,2003-06-01,299626
2019-12-06,2019-12-06,2003-07-01,302747
2019-12-06,2019-12-06,2003-08-01,307809
2019-12-06,2019-12-06,2003-09-01,305933
2019-12-06,2019-12-06,2003-10-01,304809
2019-12-06,2019-12-06,2003-11-01,308527
2019-12-06,2019-12-06,2003-12-01,307407
2019-12-06,2019-12-06,2004-01-01,309254
2019-12-06,2019-12-06,2004-02-01,311393
2019-12-06,2019-12-06,2004-03-01,316912
2019-12-06,2019-12-06,2004-04-01,313512
2019-12-06,2019-12-06,2004-05-01,318964
2019-12-06,2019-12-06,2004-06-01,314958
2019-12-06,2019-12-06,2004-07-01,318549
2019-12-06,2019-12-06,2004-08-01,318977
2019-12-06,2019-12-06,2004-09-01,324569
2019-12-06,2019-12-06,2004-10-01,326740
2019-12-06,2019-12-06,2004-11-01,327836
2019-12-06,2019-12-06,2004-12-01,331874
2019-12-06,2019-12-06,2005-01-01,328696
2019-12-06,2019-12-06,2005-02-01,333026
2019-12-06,2019-12-06,2005-03-01,333581
2019-12-06,2019-12-06,2005-04-01,336583
2019-12-06,2019-12-06,2005-05-01,334522
2019-12-06,2019-12-06,2005-06-01,343998
2019-12-06,2019-12-06,2005-07-01,346576
2019-12-06,2019-12-06,2005-08-01,343307
2019-12-06,2019-12-06,2005-09-01,343956
2019-12-06,2019-12-06,2005-10-01,344097
2019-12-06,2019-12-06,2005-11-01,347325
2019-12-06,2019-12-06,2005-12-01,347405
2019-12-06,2019-12-06,2006-01-01,357331
2019-12-06,2019-12-06,2006-02-01,354706
2019-12-06,2019-12-06,2006-03-01,355665
2019-12-06,2019-12-06,2006-04-01,357423
2019-12-06,2019-12-06,2006-05-01,356704
2019-12-06,2019-12-06,2006-06-01,357879
2019-12-06,2019-12-06,2006-07-01,359006
2019-12-06,2019-12-06,2006-08-01,360691
2019-12-06,2019-12-06,2006-09-01,358961
2019-12-06,2019-12-06,2006-10-01,358462
2019-12-06,2019-12-06,2006-11-01,359266
2019-12-06,2019-12-06,2006-12-01,363730
2019-12-06,2019-12-06,2007-01-01,363616
2019-12-06,2019-12-06,2007-02-01,364006
2019-12-06,2019-12-06,2007-03-01,367158
2019-12-06,2019-12-06,2007-04-01,366187
2019-12-06,2019-12-06,2007-05-01,370934
2019-12-06,2019-12-06,2007-06-01,368154
2019-12-06,2019-12-06,2007-07-01,369614
2019-12-06,2019-12-06,2007-08-01,371358
2019-12-06,2019-12-06,2007-09-01,372869
2019-12-06,2019-12-06,2007-10-01,375289
2019-12-06,2019-12-06,2007-11-01,378860
2019-12-06,2019-12-06,2007-12-01,374298
2019-12-06,2019-12-06,2008-01-01,375236
2019-12-06,2019-12-06,2008-02-01,371833
2019-12-06,2019-12-06,2008-03-01,372745
2019-12-06,2019-12-06,2008-04-01,372572
2019-12-06,2019-12-06,2008-05-01,376036
2019-12-06,2019-12-06,2008-06-01,376455
2019-12-06,2019-12-06,2008-07-01,375038
2019-12-06,2019-12-06,2008-08-01,372284
2019-12-06,2019-12-06,2008-09-01,366729
2019-12-06,2019-12-06,2008-10-01,352950
2019-12-06,2019-12-06,2008-11-01,339350
2019-12-06,2019-12-06,2008-12-01,332091
2019-12-06,2019-12-06,2009-01-01,336929
2019-12-06,2019-12-06,2009-02-01,335576
2019-12-06,2019-12-06,2009-03-01,329747
2019-12-06,2019-12-06,2009-04-01,331352
2019-12-06,2019-12-06,2009-05-01,334256
2019-12-06,2019-12-06,2009-06-01,339883
2019-12-06,2019-12-06,2009-07-01,340517
2019-12-06,2019-12-06,2009-08-01,346668
2019-12-06,2019-12-06,2009-09-01,338507
2019-12-06,2019-12-06,2009-10-01,341654
2019-12-06,2019-12-06,2009-11-01,344375
2019-12-06,2019-12-06,2009-12-01,346072
2019-12-06,2019-12-06,2010-01-01,346189
2019-12-06,2019-12-06,2010-02-01,346787
2019-12-06,2019-12-06,2010-03-01,354608
2019-12-06,2019-12-06,2010-04-01,357270
2019-12-06,2019-12-06,2010-05-01,354015
2019-12-06,2019-12-06,2010-06-01,354127
2019-12-06,2019-12-06,2010-07-01,354579
2019-12-06,2019-12-06,2010-08-01,356747
2019-12-06,2019-12-06,2010-09-01,359299
2019-12-06,2019-12-06,2010-10-01,363522
2019-12-06,2019-12-06,2010-11-01,367345
2019-12-06,2019-12-06,2010-12-01,369249
2019-12-06,2019-12-06,2011-01-01,371798
2019-12-06,2019-12-06,2011-02-01,375056
2019-12-06,2019-12-06,2011-03-01,378471
2019-12-06,2019-12-06,2011-04-01,380773
2019-12-06,2019-12-06,2011-05-01,380282
2019-12-06,2019-12-06,2011-06-01,383197
2019-12-06,2019-12-06,2011-07-01,382790
2019-12-06,2019-12-06,2011-08-01,383946
2019-12-06,2019-12-06,2011-09-01,387709
2019-12-06,2019-12-06,2011-10-01,389921
2019-12-06,2019-12-06,2011-11-01,391589
2019-12-06,2019-12-06,2011-12-01,391837
2019-12-06,2019-12-06,2012-01-01,395376
2019-12-06,2019-12-06,2012-02-01,400228
2019-12-06,2019-12-06,2012-03-01,401804
2019-12-06,2019-12-06,2012-04-01,399915
2019-12-06,2019-12-06,2012-05-01,399363
2019-12-06,2019-12-06,2012-06-01,396140
2019-12-06,2019-12-06,2012-07-01,397458
2019-12-06,2019-12-06,2012-08-01,402152
2019-12-06,2019-12-06,2012-09-01,405366
2019-12-06,2019-12-06,2012-10-01,405925
2019-12-06,2019-12-06,2012-11-01,407580
2019-12-06,2019-12-06,2012-12-01,408793
2019-12-06,2019-12-06,2013-01-01,412323
2019-12-06,2019-12-06,2013-02-01,417217
2019-12-06,2019-12-06,2013-03-01,414226
2019-12-06,2019-12-06,2013-04-01,412209
2019-12-06,2019-12-06,2013-05-01,414209
2019-12-06,2019-12-06,2013-06-01,415522
2019-12-06,2019-12-06,2013-07-01,418493
2019-12-06,2019-12-06,2013-08-01,417623
2019-12-06,2019-12-06,2013-09-01,417401
2019-12-06,2019-12-06,2013-10-01,419232
2019-12-06,2019-12-06,2013-11-01,420658
2019-12-06,2019-12-06,2013-12-01,422862
2019-12-06,2019-12-06,2014-01-01,418699
2019-12-06,2019-12-06,2014-02-01,424643
2019-12-06,2019-12-06,2014-03-01,428982
2019-12-06,2019-12-06,2014-04-01,433691
2019-12-06,2019-12-06,2014-05-01,434368
2019-12-06,2019-12-06,2014-06-01,435306
2019-12-06,2019-12-06,2014-07-01,436184
2019-12-06,2019-12-06,2014-08-01,439692
2019-12-06,2019-12-06,2014-09-01,438666
2019-12-06,2019-12-06,2014-10-01,440018
2019-12-06,2019-12-06,2014-11-01,441282
2019-12-06,2019-12-06,2014-12-01,438912
2019-12-06,2019-12-06,2015-01-01,436370
2019-12-06,2019-12-06,2015-02-01,435330
2019-12-06,2019-12-06,2015-03-01,441574
2019-12-06,2019-12-06,2015-04-01,442588
2019-12-06,2019-12-06,2015-05-01,446089
2019-12-06,2019-12-06,2015-06-01,446808
2019-12-06,2019-12-06,2015-07-01,450016
2019-12-06,2019-12-06,2015-08-01,450107
2019-12-06,2019-12-06,2015-09-01,448646
2019-12-06,2019-12-06,2015-10-01,447559
2019-12-06,2019-12-06,2015-11-01,449149
2019-12-06,2019-12-06,2015-12-01,450987
2019-12-06,2019-12-06,2016-01-01,448546
2019-12-06,2019-12-06,2016-02-01,452413
2019-12-06,2019-12-06,2016-03-01,450750
2019-12-06,2019-12-06,2016-04-01,453171
2019-12-06,2019-12-06,2016-05-01,454440
2019-12-06,2019-12-06,2016-06-01,459030
2019-12-06,2019-12-06,2016-07-01,458833
2019-12-06,2019-12-06,2016-08-01,459341
2019-12-06,2019-12-06,2016-09-01,461721
2019-12-06,2019-12-06,2016-10-01,463213
2019-12-06,2019-12-06,2016-11-01,462889
2019-12-06,2019-12-06,2016-12-01,467773
2019-12-06,2019-12-06,2017-01-01,473676
2019-12-06,2019-12-06,2017-02-01,472456
2019-12-06,2019-12-06,2017-03-01,471493
2019-12-06,2019-12-06,2017-04-01,474643
2019-12-06,2019-12-06,2017-05-01,472453
2019-12-06,2019-12-06,2017-06-01,474446
2019-12-06,2019-12-06,2017-07-01,475122
2019-12-06,2019-12-06,2017-08-01,475980
2019-12-06,2019-12-06,2017-09-01,485679
2019-12-06,2019-12-06,2017-10-01,487071
2019-12-06,2019-12-06,2017-11-01,490781
2019-12-06,2019-12-06,2017-12-01,492980
2019-12-06,2019-12-06,2018-01-01,494208
2019-12-06,2019-12-06,2018-02-01,495028
2019-12-06,2019-12-06,2018-03-01,494681
2019-12-06,2019-12-06,2018-04-01,496768
2019-12-06,2019-12-06,2018-05-01,502987
2019-12-06,2019-12-06,2018-06-01,503283
2019-12-06,2019-12-06,2018-07-01,506047
2019-12-06,2019-12-06,2018-08-01,504897
2019-12-06,2019-12-06,2018-09-01,504604
2019-12-06,2019-12-06,2018-10-01,510685
2019-12-06,2019-12-06,2018-11-01,510233
2019-12-06,2019-12-06,2018-12-01,499879
2019-12-06,2019-12-06,2019-01-01,507222
2019-12-06,2019-12-06,2019-02-01,504441
2019-12-06,2019-12-06,2019-03-01,513608
2019-12-06,2019-12-06,2019-04-01,515545
2019-12-06,2019-12-06,2019-05-01,518131
2019-12-06,2019-12-06,2019-06-01,520055
2019-12-06,2019-12-06,2019-07-01,523922
2019-12-06,2019-12-06,2019-08-01,526862
2019-12-06,2019-12-06,2019-09-01,525157
2019-12-06,2019-12-06,2019-10-01,526540
